MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
11/04/2019 07:00:00,4175.156,501.423,602.393,77.081,212.406,1323.551,281.685,734.001,1583.525,2943.727,1044.114,545.299,275.699,3213.648,3122.057,869.732,2987.078
11/04/2019 08:00:00,4145.846,495.384,600.615,75.525,212.983,1303.812,279.428,727.803,1580.544,2912.154,1029.769,547.031,272.611,3206.754,3130.173,865.094,2934.445
11/04/2019 09:00:00,4159.354,497.551,603.509,74.735,214.174,1304.972,278.253,735.346,1552.457,2936.794,1028.174,559.148,271.738,3227.045,3141.160,870.182,2864.088
11/04/2019 10:00:00,4214.561,510.128,605.282,75.555,215.432,1325.086,280.248,749.550,1560.996,2968.858,1037.503,582.364,273.722,3247.724,3216.982,881.406,2916.558
11/04/2019 11:00:00,4370.446,536.038,615.882,79.920,221.264,1380.329,289.831,783.656,1607.213,3033.417,1078.438,595.710,284.581,3287.425,3204.835,905.362,3013.532
11/04/2019 12:00:00,4711.673,585.778,593.845,87.456,237.781,1505.739,318.403,847.324,1710.459,3271.791,1163.584,614.592,308.370,3400.555,3226.122,949.045,3221.217
11/04/2019 13:00:00,5203.967,659.472,618.590,96.709,260.435,1702.913,362.391,941.617,1879.639,3602.816,1292.583,654.857,338.139,3597.160,3456.565,1018.272,3414.805
11/04/2019 14:00:00,5317.053,679.535,633.696,101.127,270.455,1788.669,389.668,975.381,1972.311,3666.186,1340.151,675.875,350.668,3726.110,3619.260,999.234,3527.403
11/04/2019 15:00:00,5214.362,652.311,635.103,102.812,269.730,1808.889,394.226,977.818,1988.466,3597.698,1352.004,670.729,350.755,3700.860,3655.678,948.707,3547.946
11/04/2019 16:00:00,5056.270,617.757,630.149,104.424,275.812,1859.250,391.438,974.178,1988.316,3529.942,1346.812,673.144,345.508,3677.475,3617.815,910.860,3534.510
11/04/2019 17:00:00,4920.593,596.331,625.885,103.325,273.868,1862.076,391.866,970.171,1989.199,3513.240,1343.322,670.620,344.195,3613.965,3610.839,874.821,3524.828
11/04/2019 18:00:00,4819.192,577.581,625.333,101.937,273.854,1827.048,384.466,954.932,1969.136,3445.929,1324.473,665.629,342.596,3586.133,3800.595,850.901,3495.670
11/04/2019 19:00:00,4761.240,566.978,662.794,102.195,274.229,1812.701,379.578,937.365,1953.586,3441.649,1299.623,654.902,339.417,3561.023,3757.047,835.505,3437.211
11/04/2019 20:00:00,4764.500,570.769,715.743,99.319,267.938,1788.051,379.595,913.797,1937.876,3417.581,1295.204,655.398,340.647,3570.322,3788.308,828.085,3407.931
11/04/2019 21:00:00,4745.097,561.322,717.391,99.825,263.689,1760.522,375.492,903.411,1909.418,3410.509,1299.523,655.002,340.449,3567.782,3800.773,816.221,3354.621
11/04/2019 22:00:00,4731.287,560.024,671.744,101.901,266.423,1768.026,371.988,914.203,1909.521,3381.251,1296.196,647.947,342.883,3573.038,3833.342,824.099,3327.750
11/04/2019 23:00:00,4748.502,563.456,610.740,106.914,269.422,1796.758,384.130,939.567,1940.200,3367.266,1325.988,641.150,346.797,3580.025,3905.018,845.109,3338.554
11/05/2019 00:00:00,4861.692,595.608,618.300,115.243,276.351,1886.165,403.128,992.385,1983.479,3432.912,1396.787,639.869,363.740,3597.366,4017.360,881.387,3459.042
11/05/2019 01:00:00,5011.532,612.523,622.427,116.391,279.642,1899.582,407.328,999.206,2012.713,3597.796,1415.599,660.232,365.428,3683.180,4067.752,938.748,3563.592
11/05/2019 02:00:00,4940.597,608.086,615.979,113.344,275.760,1839.667,394.647,979.361,1973.369,3532.942,1387.791,654.342,353.519,3649.969,4043.749,936.724,3508.239
11/05/2019 03:00:00,4794.501,594.930,615.554,108.517,268.529,1773.167,380.619,951.025,1921.506,3521.800,1350.428,643.504,340.490,3616.361,3973.181,935.951,3421.610
11/05/2019 04:00:00,4580.815,570.134,645.852,101.329,265.103,1688.737,360.789,906.675,1858.867,3389.325,1298.193,623.138,325.293,3555.175,3843.430,950.440,3285.263
11/05/2019 05:00:00,4298.763,531.409,676.688,92.664,251.542,1568.624,333.755,842.489,1768.854,3209.549,1218.514,603.187,305.069,3456.699,3751.569,902.845,3102.140
11/05/2019 06:00:00,4052.469,498.423,662.245,85.332,240.949,1475.901,312.211,798.885,1701.080,3064.493,1146.836,584.546,287.771,3346.137,3621.884,866.467,2947.802
