MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
01/02/2022 07:00:00,5150.096,729.243,759.819,126.105,281.778,2258.329,462.962,1120.612,2301.453,4395.878,1508.570,606.631,377.413,3656.127,4486.614,1553.224,3885.572
01/02/2022 08:00:00,5139.185,734.547,755.982,123.395,279.742,2227.760,459.201,1114.103,2318.135,4361.130,1492.935,597.292,375.072,3603.729,4443.560,1539.201,3832.901
01/02/2022 09:00:00,5182.637,734.052,756.511,121.305,277.027,2218.906,460.004,1112.233,2295.783,4327.387,1486.578,597.084,373.144,3597.097,4418.877,1536.693,3806.072
01/02/2022 10:00:00,5248.348,742.861,757.558,121.070,276.952,2222.373,460.793,1109.796,2333.366,4308.473,1485.676,596.794,375.770,3578.774,4412.589,1540.686,3794.938
01/02/2022 11:00:00,5395.142,756.493,761.456,121.987,279.390,2240.005,465.105,1123.640,2354.488,4316.446,1490.525,604.466,380.432,3552.904,4422.319,1546.691,3805.452
01/02/2022 12:00:00,5608.015,780.085,764.487,124.799,283.783,2269.142,476.057,1147.557,2421.089,4369.481,1511.184,610.975,389.383,3546.181,4444.543,1565.550,3859.117
01/02/2022 13:00:00,5877.148,811.659,775.059,128.049,290.264,2325.491,490.946,1179.818,2477.608,4448.583,1543.313,626.848,403.067,3584.157,4485.239,1591.397,3960.678
01/02/2022 14:00:00,6187.568,838.905,799.352,132.071,290.329,2393.596,504.002,1221.692,2523.675,4557.220,1574.940,635.418,414.629,3649.040,4533.157,1638.449,4059.563
01/02/2022 15:00:00,6513.480,861.944,800.094,136.070,292.823,2409.640,506.662,1223.593,2509.722,4609.594,1586.302,636.369,422.717,3664.160,4544.630,1642.440,4139.118
01/02/2022 16:00:00,6741.577,857.512,802.689,138.653,294.056,2397.514,496.345,1221.077,2429.323,4610.618,1577.608,637.143,430.145,3552.731,4545.030,1597.105,4142.099
01/02/2022 17:00:00,6774.146,826.306,797.975,140.854,294.166,2376.104,486.534,1206.236,2364.868,4550.934,1568.406,626.108,434.149,3514.323,4483.689,1521.595,4123.675
01/02/2022 18:00:00,6791.644,794.569,785.649,142.201,294.970,2355.482,476.738,1185.290,2278.341,4461.829,1562.041,596.499,437.566,3397.812,4435.492,1447.587,4097.653
01/02/2022 19:00:00,6763.911,761.738,776.229,140.500,291.265,2293.777,466.828,1144.836,2187.401,4375.090,1544.474,581.522,424.603,3324.285,4352.256,1380.395,4037.850
01/02/2022 20:00:00,6645.138,729.257,768.817,136.103,286.754,2207.718,455.614,1089.034,2126.397,4224.799,1517.672,570.211,404.673,3249.444,4283.153,1314.542,3957.364
01/02/2022 21:00:00,6454.407,695.185,731.709,133.328,283.083,2156.529,446.427,1058.871,2057.227,4090.298,1495.201,568.361,392.706,3178.689,4224.457,1266.605,3878.800
01/02/2022 22:00:00,6293.816,688.270,730.195,134.170,279.973,2155.735,446.811,1033.879,2050.733,4034.066,1489.719,567.605,391.519,3136.650,4208.160,1234.469,3847.042
01/02/2022 23:00:00,6272.972,722.060,753.830,139.307,284.651,2220.737,461.827,1069.121,2079.958,4060.507,1535.170,572.122,411.807,3145.025,4262.327,1253.190,3913.085
01/03/2022 00:00:00,6629.647,790.093,776.372,151.673,300.582,2393.702,499.974,1179.896,2221.202,4294.757,1656.402,599.452,451.003,3253.911,4425.599,1340.403,4176.771
01/03/2022 01:00:00,6845.797,815.851,791.179,154.919,308.362,2452.481,509.064,1186.983,2257.546,4478.678,1687.164,617.420,459.370,3397.135,4478.538,1430.531,4307.035
01/03/2022 02:00:00,6824.735,817.531,793.227,151.267,309.333,2442.024,501.197,1157.446,2224.892,4478.008,1668.095,621.640,452.711,3483.223,4469.500,1467.071,4284.925
01/03/2022 03:00:00,6767.821,811.613,773.726,146.711,309.489,2415.823,492.511,1128.088,2227.104,4474.772,1641.335,624.845,445.939,3480.006,4444.544,1476.095,4236.360
01/03/2022 04:00:00,6674.408,807.119,774.293,141.969,311.851,2371.521,479.124,1099.251,2193.364,4434.393,1601.470,622.706,434.582,3472.852,4405.084,1478.901,4147.913
01/03/2022 05:00:00,6464.135,786.917,767.584,135.144,302.883,2297.566,456.564,1052.397,2153.971,4331.815,1540.042,611.243,418.938,3410.442,4273.766,1451.314,4009.740
01/03/2022 06:00:00,6277.448,773.800,755.890,128.896,290.589,2226.626,438.661,1026.249,2067.508,4200.071,1479.355,602.999,404.768,3350.412,4158.804,1421.566,3869.517
